CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME,ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
,,,,,,,,,,1,guadalquivir,"breña, la",103.0,0
5230036.0,"fernandina, la","fernandina, la","38,179645624","-3,57022439999997",guadalquivir,jaén,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1572,3,guadalquivir,"fernandina, la",247.0,0
5410131.0,puebla de cazalla,puebla de cazalla,"37,1297715490001","-5,24330867699996",guadalquivir,sevilla,andalucía,presa de fábrica de gravedad (hormigón compactado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1773,5,guadalquivir,puebla de cazalla,87.0,0
,,,,,,,,,,6,guadalquivir,pedro marín,19.0,0
6290013.0,"viñuela, la",reservoir la viñuela,"36,8603996900001","-4,16443532799997",cuencas mediterraneas andaluzas,málaga,andalucía,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1966,9,cuenca mediterránea andaluza,"viñuela, la",170.0,0
6180003.0,rules,rules reservoir,"36,860509918","-3,49543042599993",cuencas mediterraneas andaluzas,granada,andalucía,presa de fábrica de arco-gravedad,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1952,11,cuenca mediterránea andaluza,rules,111.0,0
,,,,,,,,,,12,guadiana,búrdalo,79.0,0
,,,,,,,,,,14,guadiana,la cabezuela,43.0,0
,,,,,,,,,,18,miño - sil,castrelo,60.0,1
1320012.0,cenza,cenza,"42,1958472700001","-7,24682463199997",miño-sil,ourense,galicia,presa de fábrica de gravedad (hormigón compactado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=97,19,miño - sil,cenza,40.0,1
1270004.0,vilasouto,vilasouto,"42,660979092","-7,42345703199993",miño-sil,lugo,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=64,22,miño - sil,vilasouto,21.0,0
,,,,,,,,,,24,tajo,burguillo - puente nuevo,217.0,0
3190016.0,entrepeñas,entrepeñas reservoir,"40,4930851390001","-2,75082189599993",tajo,guadalajara,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=752,26,tajo,entrepeñas,886.0,0
3100021.0,valdeobispo,valdeobispo,"40,099036471","-6,25053019799998",tajo,cáceres,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=555,29,tajo,valdeobispo,53.0,0
,,,,,,,,,,32,segura,talave,35.0,0
,,,,,,,,,,34,júcar,arenós,137.0,0
8460019.0,cortes ii,cortes-la muela reservoir,"39,261640399","-0,918337680999969",jucar,valència/valencia,comunitat valenciana,presa de fábrica de arco-gravedad,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2313,36,júcar,cortes ii,118.0,1
8460021.0,contreras,contreras,"39,5435634520001","-1,50316294099997",jucar,valència/valencia,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2314,38,júcar,contreras,874.0,0
8460022.0,contreras,contreras,"39,5432230330001","-1,51032713299998",jucar,cuenca,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2315,38,júcar,contreras,874.0,0
8030092.0,guadalest,guadalest reservoir,"38,679938329","-0,19178029699998",jucar,alacant/alicante,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2243,40,júcar,guadalest,13.0,0
8120011.0,ulldecona,ulldecona dam,"40,670915209","0,233962578000046",jucar,castelló/castellón,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2266,42,júcar,ulldecona,11.0,0
9220017.0,barasona,barasona reservoir,"42,124230776","0,311147826000024",ebro,huesca,aragón,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2434,44,ebro,barasona,92.0,0
9440007.0,calanda,calanda,"40,9154746140001","-0,211212751999938",ebro,teruel,aragón,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2800,46,ebro,calanda,54.0,0
9440002.0,cueva foradada,cueva foradada reservoir,"40,9872073600001","-0,692681022999977",ebro,teruel,aragón,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2795,47,ebro,cueva foradada,29.0,0
9250049.0,cavallers,cavallers,"42,58555584","0,854115437000075",ebro,lleida,cataluña,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2593,48,ebro,cavallers,16.0,1
,,,,,,,,,,50,ebro,puente de santolea,18.0,0
,,,,,,,,,,51,ebro,san salvador,137.0,0
9310030.0,urdalur,urdalur,"42,916911187","-2,23343148499993",ebro,navarra,comunidad foral de navarra,presa de fábrica de gravedad (hormigón compactado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2742,52,ebro,urdalur,6.0,0
,,,,,,,,,,54,ebro,sistema lagos espot,10.0,1
,,,,,,,,,,55,ebro,sotonera,189.0,0
1090002.0,ordunte,ordunte,"43,1604152670001","-3,28388846399997",cantabrico oriental,burgos,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=13,58,cantábrico oriental,ordunte,22.0,0
5410045.0,cala,cala,"37,7222268940001","-6,08896625199998",guadalquivir,sevilla,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1688,60,guadalquivir,cala,59.0,1
5180017.0,canales,embalse de canales,"37,1604689060001","-3,48047606499995",guadalquivir,granada,andalucía,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1520,61,guadalquivir,canales,71.0,0
,,,,,,,,,,64,guadalquivir,malpasillo ( jauja ),6.0,0
,,,,,,,,,,65,guadalquivir,quéntar,14.0,0
4210092.0,piedras,piedras,"37,366812629","-7,26645658799993","tinto, odiel y piedras",huelva,andalucía,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1296,69,tinto. odiel y piedras,piedras,60.0,0
,,,,,,,,,,70,tinto. odiel y piedras,sancho,58.0,0
,,,,,,,,,,71,miño - sil,chandrexa,61.0,1
1360002.0,frieira,frieira,"42,1557461190001","-8,19287681099996",miño-sil,ourense,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=168,72,miño - sil,frieira,44.0,1
1320037.0,velle,velle,"42,357859342","-7,85142526699997",miño-sil,ourense,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=122,74,miño - sil,velle,17.0,1
2400001.0,burgomillodo,burgomillodo reservoir,"41,337311189","-3,88541240699993",duero,segovia,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=406,75,duero,burgomillodo,15.0,1
2420001.0,cuerda del pozo,cuerda del pozo reservoir,"41,875818591","-2,70401966899993",duero,soria,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=438,77,duero,cuerda del pozo,249.0,0
2370024.0,irueña,irueña reservoir,"40,4443173830001","-6,57938884699996",duero,salamanca,castilla y león,presa de fábrica de arco-gravedad,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=384,78,duero,irueña,110.0,0
,,,,,,,,,,80,tajo,baños,41.0,0
,,,,,,,,,,89,ebro,gonzález lacasa,33.0,0
9260022.0,mansilla,embalse de mansilla,"42,158172941","-2,91170796899996",ebro,la rioja,la rioja,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2682,91,ebro,mansilla,68.0,0
,,,,,,,,,,92,ebro,moneva,8.0,0
,,,,,,,,,,94,galicia costa,cecebre,22.0,0
10430005.0,riudecanyes,riudecanyes,"41,133459546","0,958540952000021",cuencas internas de cataluña,tarragona,cataluña,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2918,95,cuencas internas de cataluña,riudecanyes,5.0,0
14150017.0,portodemouros,portodemouros reservoir,"42,856207614","-8,19033879699998",galicia-costa,pontevedra,galicia,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=3096,96,galicia costa,portodemouros,297.0,1
,,,,,,,,,,97,cuencas internas de cataluña,boadella,62.0,0
9500008.0,"tranquera, la",reservoir of la tranquera,"41,262569371","-1,79716175699997",ebro,zaragoza,aragón,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2821,98,ebro,"tranquera, la",84.0,0
5140042.0,arenoso,arenós reservoir,"38,0210076590001","-4,44123809399997",guadalquivir,córdoba,andalucía,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1463,100,guadalquivir,arenoso,167.0,0
5140011.0,sierra boyera,embalse de sierra boyera,"38,2579828190001","-5,22281439599993",guadalquivir,córdoba,andalucía,presa mixta,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1433,108,guadalquivir,sierra boyera,41.0,0
5140015.0,sierra boyera,embalse de sierra boyera,"38,2608073970001","-5,22164337099997",guadalquivir,córdoba,andalucía,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1437,108,guadalquivir,sierra boyera,41.0,0
,,,,,,,,,,109,guadalquivir,zufre,179.0,0
5110008.0,barbate,embalse de barbate,"36,37044293","-5,74144173299993",guadalete y barbate,cádiz,andalucía,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1334,113,guadalete-barbate,barbate,228.0,0
5110012.0,barbate,embalse de barbate,"36,3594386510001","-5,73595225699995",guadalete y barbate,cádiz,andalucía,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1338,113,guadalete-barbate,barbate,228.0,0
5110026.0,barbate,embalse de barbate,"36,361376706","-5,73829324399998",guadalete y barbate,cádiz,andalucía,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1351,113,guadalete-barbate,barbate,228.0,0
,,,,,,,,,,114,guadiana,"aguijón, el",11.0,0
,,,,,,,,,,115,guadiana,canchales,26.0,0
,,,,,,,,,,117,guadiana,la serena,3219.0,0
1320039.0,albarellos,albarellos,"42,3997502070001","-8,19041297799993",miño-sil,ourense,galicia,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=124,119,miño - sil,albarellos,91.0,1
,,,,,,,,,,120,miño - sil,edrada-mao,15.0,1
,,,,,,,,,,121,duero,aguilar,247.0,0
,,,,,,,,,,122,duero,aldeadávila,115.0,1
2340006.0,camporredondo,camporredondo,"42,8991049300001","-4,73748905099995",duero,palencia,castilla y león,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=343,124,duero,camporredondo,70.0,0
2490012.0,castro,castro reservoir,"41,57537726","-6,18722467599997",duero,zamora,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=479,126,duero,castro,38.0,1
2400015.0,linares del arroyo,linares del arroyo,"41,527351971","-3,55592977299995",duero,segovia,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=420,127,duero,linares del arroyo,58.0,0
2490015.0,ricobayo,ricobayo reservoir,"41,527467749","-5,98543277699997",duero,zamora,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=482,129,duero,ricobayo,1200.0,1
3280050.0,navacerrada,navacerrada,"40,7150019000001","-4,00500334299994",tajo,madrid,comunidad de madrid,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=827,133,tajo,navacerrada,11.0,0
3100074.0,salor,valdesalor reservoir,"39,363901431","-6,30464727599997",tajo,cáceres,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=608,135,tajo,salor,14.0,0
,,,,,,,,,,137,segura,anchuricas,8.0,1
,,,,,,,,,,138,segura,la pedrera,246.0,0
,,,,,,,,,,141,júcar,regajo,6.0,0
9250005.0,camarasa,camarasa,"41,9079463640001","0,88683086900005",ebro,lleida,cataluña,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2555,142,ebro,camarasa,163.0,1
9390001.0,ebro,ebro reservoir,"42,969946861","-4,05169448199996",ebro,cantabria,cantabria,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2756,143,ebro,ebro,541.0,0
,,,,,,,,,,144,ebro,las fitas,9.0,0
9250031.0,sallente,sallente,"42,5003709690001","0,991459934000034",ebro,lleida,cataluña,presa de materiales sueltos de pantalla asfáltica,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2580,145,ebro,sallente,6.0,1
,,,,,,,,,,148,ebro,sistema capdella,50.0,1
9010013.0,ullivarri,ullivarri,"42,9292733350001","-2,61677326299997",ebro,araba/álava,país vasco,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2375,149,ebro,ullivarri,147.0,1
,,,,,,,,,,151,cantábrico occidental,"barca, la",35.0,1
,,,,,,,,,,155,guadalquivir,"carpio, el",20.0,1
,,,,,,,,,,156,guadalquivir,doña aldonza,23.0,1
,,,,,,,,,,157,guadalquivir,fresneda,19.0,0
5230047.0,guadalmena,embalse del guadalmena,"38,3634923170001","-2,91397881899996",guadalquivir,jaén,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1582,159,guadalquivir,guadalmena,347.0,0
5410036.0,huesna,huesna,"37,769635302","-5,68521394399994",guadalquivir,sevilla,andalucía,presa de materiales sueltos de pantalla asfáltica,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1679,160,guadalquivir,huesna,138.0,0
,,,,,,,,,,161,guadalquivir,marmolejo,13.0,1
5140004.0,puente nuevo,embalse de puente nuevo,"38,08606718","-4,92546965099996",guadalquivir,córdoba,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1426,162,guadalquivir,puente nuevo,286.0,0
,,,,,,,,,,164,guadalquivir,siles,30.0,0
,,,,,,,,,,170,guadiana,boquerón,6.0,0
4210044.0,chanza,chança dam,"37,5584664020001","-7,52075869499993",guadiana,huelva,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1249,171,guadiana,chanza,386.0,0
4060102.0,montijo,montijo,"38,9236610560001","-6,42868094199997",guadiana,badajoz,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1027,172,guadiana,montijo,11.0,0
4130018.0,peñarroya,peñarroya dam,"39,0603072490001","-3,00679625799995",guadiana,ciudad real,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1106,173,guadiana,peñarroya,51.0,0
1240018.0,"campañana, la",campañana reservoir,"42,498086748","-6,76967359799994",miño-sil,león,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=51,177,miño - sil,"campañana, la",14.0,1
1240016.0,"campañana, la",campañana reservoir,"42,50033776","-6,75720479699993",miño-sil,león,castilla y león,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=49,177,miño - sil,"campañana, la",14.0,1
1320044.0,"portas, las","portas, las","42,1144376730001","-7,20922708099994",miño-sil,ourense,galicia,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=129,178,miño - sil,"portas, las",536.0,1
,,,,,,,,,,181,duero,úzquiza,75.0,0
,,,,,,,,,,182,duero,"vencías, las",5.0,1
,,,,,,,,,,183,tajo,cáceres - guadiloba,20.0,0
,,,,,,,,,,184,tajo,jerte - plasencia,59.0,0
3100053.0,rivera de gata,rivera de gata,"40,1331552600001","-6,64763777499996",tajo,cáceres,extremadura,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=587,186,tajo,rivera de gata,49.0,0
3100055.0,rivera de gata,rivera de gata,"40,133555319","-6,64914969899996",tajo,cáceres,extremadura,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=589,186,tajo,rivera de gata,49.0,0
3100057.0,rivera de gata,rivera de gata,"40,13470955","-6,65231398199995",tajo,cáceres,extremadura,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=591,186,tajo,rivera de gata,49.0,0
3100060.0,rivera de gata,rivera de gata,"40,1363966490001","-6,63871159399997",tajo,cáceres,extremadura,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=594,186,tajo,rivera de gata,49.0,0
3100058.0,rivera de gata,rivera de gata,"40,136254439","-6,63615789899995",tajo,cáceres,extremadura,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=592,186,tajo,rivera de gata,49.0,0
3100059.0,rivera de gata,rivera de gata,"40,1343097810001","-6,62565077899995",tajo,cáceres,extremadura,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=593,186,tajo,rivera de gata,49.0,0
3100012.0,rivera de gata,rivera de gata,"40,134844602","-6,63285012399996",tajo,cáceres,extremadura,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=546,186,tajo,rivera de gata,49.0,0
3190032.0,"vado, el",el vado reservoir,"41,0034892630001","-3,30090199199998",tajo,guadalajara,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=767,187,tajo,"vado, el",56.0,0
3190029.0,"vado, el",el vado reservoir,"41,002339229","-3,29625935399997",tajo,guadalajara,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=764,187,tajo,"vado, el",56.0,0
,,,,,,,,,,188,segura,puentes,26.0,0
7020002.0,fuensanta,fuensanta reservoir,"38,3912491360001","-2,20834281199996",segura,albacete,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2004,189,segura,fuensanta,210.0,0
8460004.0,forata,forata reservoir,"39,340702734","-0,86476747599994",jucar,valència/valencia,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2301,191,júcar,forata,37.0,0
9220021.0,canelles,canelles reservoir,"41,9785559910001","0,612325865000059",ebro,huesca,aragón,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2438,192,ebro,canelles,688.0,1
,,,,,,,,,,194,ebro,eúgui,21.0,0
9250050.0,oliana,oliana reservoir,"42,092702178","1,29406967700004",ebro,lleida,cataluña,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2594,195,ebro,oliana,101.0,0
,,,,,,,,,,196,ebro,montearagón,52.0,0
,,,,,,,,,,200,cantábrico occidental,rioseco,4.0,0
5230002.0,"bolera, la","bolera, la","37,7622489710001","-2,90313354799997",guadalquivir,jaén,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1538,203,guadalquivir,"bolera, la",54.0,0
5180012.0,cubillas,embalse de cubillas,"37,274509489","-3,68317058099996",guadalquivir,granada,andalucía,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1515,204,guadalquivir,cubillas,21.0,0
,,,,,,,,,,205,guadalquivir,hornachuelos,18.0,0
,,,,,,,,,,209,cuenca mediterránea andaluza,béznar,56.0,0
,,,,,,,,,,212,guadalete-barbate,zahara-el gastor,223.0,0
,,,,,,,,,,215,guadiana,el vicario,32.0,0
4100026.0,cubilar,cubilar,"39,237347379","-5,47071172699998",guadiana,cáceres,extremadura,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1075,216,guadiana,cubilar,10.0,0
,,,,,,,,,,218,guadiana,llerena,9.0,0
,,,,,,,,,,220,guadiana,"pto, vallehermoso",7.0,0
4060036.0,villar del rey,villar del rey,"39,1519574230001","-6,86669007999996",guadiana,badajoz,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=963,221,guadiana,villar del rey,134.0,0
,,,,,,,,,,222,ebro,valdepatao,6.0,0
,,,,,,,,,,223,ebro,terroba,8.0,0
,,,,,,,,,,224,cantábrico oriental,san antón,5.0,0
5210003.0,aracena,aracena,"37,9078896870001","-6,45184509099994",guadalquivir,huelva,andalucía,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1531,226,guadalquivir,aracena,129.0,0
,,,,,,,,,,231,guadalquivir,montoro,105.0,0
